UML_ID,Parent_Com,Mill_name,RSPO_STATU,RSPO_Type,Date,Latitude,Longitude,GPS,GPS_X,GPS_Y,ISO,Country,Province,District,Confidence,Alternativ,UML_ID_1
PO1000002913,Pt. Inti Indosawit Subur,Pt Rigunas Agri Utama - Bungo Tebo Mill,RSPO Certified,"RSPO Certified, MB","43438",-1.34652600000,102.45631500000,"-1.346526, 102.456315",102.45631500000,-1.34652600000,IDN,Indonesia,Jambi,Tebo,1 - Fully Verified,,PO1000002913
PO1000002998,Felda,Fpisb Kilang Sawit Kemahang,Not RSPO Certified,,"43438",5.86611100000,102.00555600000,"5.866111, 102.005556",102.00555600000,5.86611100000,MYS,Malaysia,Kelantan,Tanah Merah,1 - Fully Verified,,PO1000002998
PO1000003004,Pt. Inti Indosawit Subur,Pt Hari Sawit Jaya - Negri Lama Ii Mill,RSPO Certified,"RSPO Certified, MB","43438",2.35972200000,100.03527800000,"2.359722, 100.035278",100.03527800000,2.35972200000,IDN,Indonesia,North Sumatra,Labuhan Batu,1 - Fully Verified,,PO1000003004
PO1000003031,Palmeras De La Costa S.A.,Palmeras De La Costa S.A.,Not RSPO Certified,,"43438",10.10132500000,-74.01010000000,"10.101325, -74.0101",-74.01010000000,10.10132500000,COL,Colombia,Cesar,El Copey,1 - Fully Verified,,PO1000003031
PO1000003038,Chumporn Palm Oil Industry Public Company Limited,Chumporn Palm Oil Industry Public Company Limited Mill,RSPO Certified,"RSPO Certified, MB","43438",10.84166700000,99.22122200000,"10.841667, 99.221222",99.22122200000,10.84166700000,THA,Thailand,Chumphon,Tha Sae,1 - Fully Verified,,PO1000003038
PO1000003045,Felda,Fpisb Kilang Sawit Aring,RSPO Certified,"RSPO Certified, MB","43438",4.94083300000,102.36416700000,"4.940833, 102.364167",102.36416700000,4.94083300000,MYS,Malaysia,Perlis,Perlis,1 - Fully Verified,,PO1000003045
PO1000003100,Hap Seng Plantations Holdings Sdn Bhd,Jeroco Pom 2,RSPO Certified,"RSPO Certified, MB","43438",5.43111200000,118.41722400000,"5.431112, 118.417224",118.41722400000,5.43111200000,MYS,Malaysia,Sabah,Kinabatangan,1 - Fully Verified,,PO1000003100
PO1000003112,Pt. Perkebunan Nusantara III,Pt. Perkebunan Nusantara III - Sisumut Pom,RSPO Certified,"RSPO Certified, MB","43438",1.96402800000,100.10816700000,"1.964028, 100.108167",100.10816700000,1.96402800000,IDN,Indonesia,North Sumatra,Labuhanbatu Selatan,1 - Fully Verified,,PO1000003112
PO1000003115,"Mong Reththy Investment Cambodia Oil Palm Co., Ltd (Mricop)","Mong Reththy Investment Cambodia Oil Palm Co., Ltd Mricop",RSPO Certified,"RSPO Certified, IP","43438",10.90936100000,103.83450000000,"10.909361, 103.8345",103.83450000000,10.90936100000,KHM,Cambodia,Preah Sihanouk,Kampong Seila,1 - Fully Verified,,PO1000003115
PO1000003116,Grupo Jaremar,Grupo Jaremar - Extractora Caicesa,RSPO Certified,"RSPO Certified, MB","43438",15.68872220000,-87.06511100000,"15.6887222, -87.065111",-87.06511100000,15.68872220000,HND,Honduras,Atlántida,San Francisco,1 - Fully Verified,,PO1000003116
PO1000003117,Grupo Jaremar,Grupo Jaremar - Extractora Agrotor,RSPO Certified,"RSPO Certified, MB","43438",15.73201940000,-87.58903000000,"15.7320194, -87.58903",-87.58903000000,15.73201940000,HND,Honduras,Atlántida,Tela,1 - Fully Verified,,PO1000003117
